Incident Number,Incident_Type,Date_Reported,Cause_Category,Cause_Agent,Population_Density,Province,Latitude,Longitude,Substance,Release_Type,Significant,Pipeline_Type,Activity_in_Process,Pipeline_Involved,Rupture,Environmental_Impact,Source of Explosion,Source of Fire,Activity at time of fatality,Injury,Pax,Evacuees,Pipeline_Name,Pipeline_Length,Substance_Carried,Land_Use,Emergency_Level,Nominal_Pipe_Size,Pipe_Material,Material_Grade,Design_Thickness,Licensed_Max_Pressure,Actual_Operating_Pressure,Year_of_Manufacture,Year_of_Installation,Service_Year,Weld type ,Seam_Type,Seam_Joining_Method,Coating_Location,Coating_Type
INC2019-120,Release of Substance,11/05/2019,Corrosion and Cracking,Maintenance,Low ,Alberta,53.198331,-116.194173,Natural Gas - Sweet,Gas,Yes,Transmission,Maintenance,Yes,No,No,,,,,,0,DISMAL CREEK LATERAL - NPS 8,1.89981313,Natural Gas,Forests,Not Emergency,NPS 8,Carbon Steel,290 - X42,4.0 mm = 0.157 in,6813,4343,,1974,1974,,Straight,Electric Resistance Welded,External,Polyethylene Tape Wrap
INC2019-124,Release of Substance,11/14/2019,Incorrect Operation,Maintenance,Low ,Alberta,52.64186166,-111.2642622,Crude Oil - Sweet,Liquid,No,Transmission,Operation,Yes,No,Yes,,,,,,0,KEYSTONE,1227.085021,Crude Oil,Developed Land - Industrial,Not Emergency,,,,,,1244,,2019,2019,,,,,
INC2019-131,Serious Injury (CER),12/09/2019,External Interference,Human Factors,Low ,Alberta,53.780254,-116.629058,Not Applicable,Not Applicable,Yes,Transmission,Construction,No,No,No,,,,Lost Consciousness,1,1,MCLEOD RIVER NORTH,33.93786093,Natural Gas Sweet,Forests,Not Emergency,,,,,,,,,,,,,,
INC2019-133,Fire,12/15/2019,External Interference,Maintenance,Low ,British Columbia,56.966387,-122.083585,Not Applicable,Not Applicable,No,Transmission,Construction,No,No,No,,Equipment & Electrical,,,,0,NORTH MONTNEY MAINLINE,287.6755648,Natural Gas Sweet,Forests,Not Emergency,,,,,,,,,,,,,,
INC2019-135,Operation Beyond Design Limits,12/18/2019,Equipment Failure,Engineering and Planning,Low ,Alberta,52.65031647,-111.268398,Not Applicable,Not Applicable,No,Transmission,Operation,Yes,No,No,,,,,,0,GIBSON EAST INTERCONNECT PIPELINE,0.61099116,Crude Oil,Developed Land - Industrial,Not Emergency,,,,,,,,,,,,,,
INC2020-002,Release of Substance,01/14/2020,External Interference,Human Factors,Medium ,Saskatchewan,50.48066052,-105.867038,Crude Oil - Sweet,Liquid,No,Transmission,Maintenance,Yes,No,Yes,,,,,,0,KEYSTONE,1227.085021,Crude Oil,Developed Land - Industrial,Not Emergency,,,,,,,,,,,,,,
INC2020-004,Operation Beyond Design Limits,01/17/2020,Natural Force Damage,Natural or Environmental Forces,Low ,Quebec,45.41329,-74.1119,Not Applicable,Not Applicable,No,Transmission,Operation,Yes,No,No,,,,,,0,Mainline,635.0188165,Refined Products-Aviation,Forests,Not Emergency,NPS 10,Carbon Steel,317 - X46,7.8 mm = 0.307 in,8274,,,1952,,,,,,Coal Tar Enamel Narrow
INC2020-005,Release of Substance,01/21/2020,Corrosion and Cracking,Maintenance,Low ,Saskatchewan,52.14173322,-109.8129918,Condensate,Liquid,No,Transmission,Operation,Yes,No,No,,,,,,0,,,,Developed Land - Industrial,Not Emergency,NPS 20,Stainless Steel,,,,,,1992,1992,,,,,
INC2020-006,Fire,01/26/2020,External Interference,To be determined,Low ,Alberta,57.80784558,-118.099678,Not Applicable,Not Applicable,No,Transmission,Maintenance,Yes,No,No,,Other Event (Nature or 3rd Party),,,,0,PADDLE PRAIRIE LATERAL (STAGE I) - NPS 12,16.45176584,Natural Gas,Developed Land - Industrial,Not Emergency,,,,,,,,,,,,,,
INC2020-007,Fire,01/28/2020,External Interference,Maintenance,Low ,Alberta,57.12286944,-117.6319444,Not Applicable,Not Applicable,No,Transmission,Construction,No,No,No,,Under Investigation or Unknown,,,,12,,,,Developed Land - Industrial,Not Emergency,,,,,,,,,,,,,,
